GPS Time;Q1;Q2;Q3;Q4;UTC;Sats;Lat;Lon;Elev;Intv;...12;Camera A;...14;Camera B;...16;ground_elev;AGL
103126842;0.4195;-0.5674;0.5635;0.4295;2024-09-02 04:38:28.842;16;-20.379694455;32.234748839;810.2572;NA;NA;Sango_R_A__00216_D1_02092024.JPG;NA;Sango_L_B__00215_D1_02092024.JPG;337;450;360.2572
103129841;0.4147;-0.5702;0.5599;0.4353;2024-09-02 04:38:31.841;16;-20.379690859;32.23583672;808.3506;2.999;NA;Sango_R_A__00217_D1_02092024.JPG;NA;Sango_L_B__00216_D1_02092024.JPG;3;448;360.3506
103132842;0.4189;-0.5669;0.5617;0.433;2024-09-02 04:38:34.842;16;-20.379692128;32.236934454;805.8238;3.001;NA;Sango_R_A__00218_D1_02092024.JPG;NA;Sango_L_B__00217_D1_02092024.JPG;3;448;357.8238
103135841;0.4168;-0.57;0.5628;0.4297;2024-09-02 04:38:37.841;16;-20.37969078;32.238033212;805.3967;2.999;NA;Sango_R_A__00219_D1_02092024.JPG;NA;Sango_L_B__00218_D1_02092024.JPG;3;446;359.3967
103138843;0.4176;-0.569;0.5594;0.4347;2024-09-02 04:38:40.843;16;-20.379678672;32.239137075;803.708;3.002;NA;Sango_R_A__00220_D1_02092024.JPG;NA;Sango_L_B__00219_D1_02092024.JPG;3;445;358.708
103141843;0.4159;-0.5715;0.5602;0.432;2024-09-02 04:38:43.843;16;-20.379676722;32.240241189;802.1776;3;NA;Sango_R_A__00221_D1_02092024.JPG;NA;Sango_L_B__00220_D1_02092024.JPG;3;443;359.1776
103144842;0.418;-0.5699;0.5614;0.4306;2024-09-02 04:38:46.842;16;-20.379688121;32.241339853;799.6117;2.999;NA;Sango_R_A__00222_D1_02092024.JPG;NA;Sango_L_B__00221_D1_02092024.JPG;3;444;355.6117
103147843;0.4164;-0.5697;0.5613;0.4325;2024-09-02 04:38:49.843;16;-20.379698541;32.242438957;796.4994;3.001;NA;Sango_R_A__00223_D1_02092024.JPG;NA;Sango_L_B__00222_D1_02092024.JPG;3;443;353.4994
103150842;0.4162;-0.5694;0.5602;0.4343;2024-09-02 04:38:52.842;16;-20.379715136;32.243538406;793.8065;2.999;NA;Sango_R_A__00224_D1_02092024.JPG;NA;Sango_L_B__00223_D1_02092024.JPG;3;441;352.8065
103153842;0.4172;-0.5691;0.5612;0.4325;2024-09-02 04:38:55.842;16;-20.379742285;32.244630975;792.7818;3;NA;Sango_R_A__00225_D1_02092024.JPG;NA;Sango_L_B__00224_D1_02092024.JPG;3;442;350.7818
103156841;0.4171;-0.5712;0.5605;0.4309;2024-09-02 04:38:58.841;16;-20.379780786;32.245710839;791.8504;2.999;NA;Sango_R_A__00226_D1_02092024.JPG;NA;Sango_L_B__00225_D1_02092024.JPG;3;441;350.8504
103159842;0.418;-0.5644;0.5635;0.4349;2024-09-02 04:39:01.842;16;-20.379820169;32.246781341;790.7465;3.001;NA;Sango_R_A__00227_D1_02092024.JPG;NA;Sango_L_B__00226_D1_02092024.JPG;3;437;353.7465
103162843;0.4165;-0.5693;0.5622;0.4317;2024-09-02 04:39:04.843;16;-20.379840753;32.247843094;789.4679;3.001;NA;Sango_R_A__00228_D1_02092024.JPG;NA;Sango_L_B__00227_D1_02092024.JPG;3;437;352.4679
103165842;0.4167;-0.5688;0.5598;0.4352;2024-09-02 04:39:07.842;16;-20.3798332;32.248897884;787.8598;2.999;NA;Sango_R_A__00229_D1_02092024.JPG;NA;Sango_L_B__00228_D1_02092024.JPG;3;439;348.8598
103168843;0.4164;-0.5697;0.5594;0.4348;2024-09-02 04:39:10.843;16;-20.379834767;32.249950975;786.8424;3.001;NA;Sango_R_A__00230_D1_02092024.JPG;NA;Sango_L_B__00229_D1_02092024.JPG;3;438;348.8424
103171842;0.4178;-0.566;0.5628;0.434;2024-09-02 04:39:13.842;16;-20.379846692;32.250998794;786.2754;2.999;NA;Sango_R_A__00231_D1_02092024.JPG;NA;Sango_L_B__00230_D1_02092024.JPG;3;438;348.2754
103174843;0.4158;-0.5713;0.5617;0.4305;2024-09-02 04:39:16.843;16;-20.37984604;32.252042448;784.9702;3.001;NA;Sango_R_A__00232_D1_02092024.JPG;NA;Sango_L_B__00231_D1_02092024.JPG;3;438;346.9702
103177843;0.4175;-0.5685;0.5608;0.4336;2024-09-02 04:39:19.843;16;-20.379826384;32.253082526;783.9249;3;NA;Sango_R_A__00233_D1_02092024.JPG;NA;Sango_L_B__00232_D1_02092024.JPG;3;437;346.9249
103180842;0.416;-0.5702;0.5599;0.434;2024-09-02 04:39:22.842;16;-20.379812866;32.254128076;782.2829;2.999;NA;Sango_R_A__00234_D1_02092024.JPG;NA;Sango_L_B__00233_D1_02092024.JPG;3;438;344.2829
103183842;0.4166;-0.5701;0.5613;0.4316;2024-09-02 04:39:25.842;16;-20.379806152;32.255182572;778.8889;3;NA;Sango_R_A__00235_D1_02092024.JPG;NA;Sango_L_B__00234_D1_02092024.JPG;3;438;340.8889
103186842;0.4173;-0.566;0.5636;0.4334;2024-09-02 04:39:28.842;16;-20.379791157;32.256246487;775.4721;3;NA;Sango_R_A__00236_D1_02092024.JPG;NA;Sango_L_B__00235_D1_02092024.JPG;3;438;337.4721
103189843;0.4174;-0.5698;0.5606;0.4322;2024-09-02 04:39:31.843;16;-20.379755316;32.257322755;772.6545;3.001;NA;Sango_R_A__00237_D1_02092024.JPG;NA;Sango_L_B__00236_D1_02092024.JPG;3;439;333.6545
