"GPS Time","Q1","Q2","Q3","Q4","UTC","Sats","Lat","Lon","Elev","Intv","...12","Camera A","...14","Camera B","...16","ground_elev","AGL"
275496234,0.424,-0.559,0.5694,0.4285,2024-09-04 04:31:18.234,16,-20.224049265,32.009877071,941.3009,NA,NA,"Sango_R_A__05610_D3_04092024.JPG",NA,"Sango_L_B__05646_D3_04092024.JPG",227,606,335.3009
275499641,0.4233,-0.5637,0.5654,0.4281,2024-09-04 04:31:21.641,16,-20.224054768,32.011038197,935.4846,3.407,NA,"Sango_R_A__05611_D3_04092024.JPG",NA,"Sango_L_B__05647_D3_04092024.JPG",4,604,331.4846
275502642,0.4254,-0.5618,0.5668,0.4268,2024-09-04 04:31:24.642,16,-20.224061111,32.012070697,932.9533,3.001,NA,"Sango_R_A__05612_D3_04092024.JPG",NA,"Sango_L_B__05648_D3_04092024.JPG",3,602,330.9533
275505641,0.4253,-0.5598,0.5697,0.4256,2024-09-04 04:31:27.641,16,-20.22407299,32.013103109,931.972,2.999,NA,"Sango_R_A__05613_D3_04092024.JPG",NA,"Sango_L_B__05649_D3_04092024.JPG",3,599,332.972
275508642,0.4265,-0.5605,0.5683,0.4255,2024-09-04 04:31:30.642,16,-20.224101043,32.014127284,930.9295,3.001,NA,"Sango_R_A__05614_D3_04092024.JPG",NA,"Sango_L_B__05650_D3_04092024.JPG",3,598,332.9295
275512036,0.4199,-0.5664,0.5656,0.4277,2024-09-04 04:31:34.036,16,-20.224140453,32.015274889,929.7192,3.394,NA,"Sango_R_A__05615_D3_04092024.JPG",NA,"Sango_L_B__05651_D3_04092024.JPG",3,594,335.7192
275515036,0.4261,-0.5599,0.5695,0.425,2024-09-04 04:31:37.036,16,-20.224166133,32.016285935,928.6417,3,NA,"Sango_R_A__05616_D3_04092024.JPG",NA,"Sango_L_B__05652_D3_04092024.JPG",3,589,339.6417
275518435,0.4191,-0.5679,0.5647,0.4277,2024-09-04 04:31:40.435,16,-20.224172548,32.017449959,924.5628,3.399,NA,"Sango_R_A__05617_D3_04092024.JPG",NA,"Sango_L_B__05653_D3_04092024.JPG",3,591,333.5628
275521835,0.4115,-0.5671,0.5566,0.4464,2024-09-04 04:31:43.835,16,-20.224131796,32.018625139,923.4286,3.4,NA,"Sango_R_A__05618_D3_04092024.JPG",NA,"Sango_L_B__05654_D3_04092024.JPG",4,600,323.4286
275524835,0.4209,-0.5647,0.5662,0.4282,2024-09-04 04:31:46.835,16,-20.224069744,32.01964964,923.3594,3,NA,"Sango_R_A__05619_D3_04092024.JPG",NA,"Sango_L_B__05655_D3_04092024.JPG",3,603,320.3594
275528234,0.4212,-0.5675,0.5621,0.4296,2024-09-04 04:31:50.234,16,-20.224008619,32.020798103,926.3991,3.399,NA,"Sango_R_A__05620_D3_04092024.JPG",NA,"Sango_L_B__05656_D3_04092024.JPG",3,605,321.3991
275531234,0.4198,-0.5694,0.5616,0.4291,2024-09-04 04:31:53.234,16,-20.224008389,32.021793222,928.479,3,NA,"Sango_R_A__05621_D3_04092024.JPG",NA,"Sango_L_B__05657_D3_04092024.JPG",3,609,319.479
275534234,0.4194,-0.5685,0.5636,0.4282,2024-09-04 04:31:56.234,16,-20.224043092,32.022777909,928.0558,3,NA,"Sango_R_A__05622_D3_04092024.JPG",NA,"Sango_L_B__05658_D3_04092024.JPG",3,611,317.0558
275537642,0.4217,-0.5644,0.5663,0.4277,2024-09-04 04:31:59.642,16,-20.224080489,32.023888634,926.1752,3.408,NA,"Sango_R_A__05623_D3_04092024.JPG",NA,"Sango_L_B__05659_D3_04092024.JPG",4,609,317.1752
275541036,0.4224,-0.5643,0.5663,0.4271,2024-09-04 04:32:03.036,16,-20.224093601,32.024994662,921.2574,3.394,NA,"Sango_R_A__05624_D3_04092024.JPG",NA,"Sango_L_B__05660_D3_04092024.JPG",3,604,317.2574
275544036,0.4146,-0.5759,0.5611,0.4262,2024-09-04 04:32:06.036,16,-20.224083627,32.025993058,915.4391,3,NA,"Sango_R_A__05625_D3_04092024.JPG",NA,"Sango_L_B__05661_D3_04092024.JPG",3,601,314.4391
275547036,0.4208,-0.5647,0.5638,0.4314,2024-09-04 04:32:09.036,16,-20.224095194,32.027000358,911.3045,3,NA,"Sango_R_A__05626_D3_04092024.JPG",NA,"Sango_L_B__05662_D3_04092024.JPG",3,599,312.3045
275550036,0.4188,-0.5668,0.5614,0.4339,2024-09-04 04:32:12.036,16,-20.224125734,32.028013341,907.4982,3,NA,"Sango_R_A__05627_D3_04092024.JPG",NA,"Sango_L_B__05663_D3_04092024.JPG",3,602,305.4982
