GPS Time;Q1;Q2;Q3;Q4;UTC;Sats;Lat;Lon;Elev;Intv;...12;Camera A;...14;Camera B;...16;ground_elev;AGL;Roll;Pitch;Yaw
103126842;0,4195;-0,5674;0,5635;0,4295;2024-09-02 04:38:28.842;16;-20,37969446;32,23474884;810,2572;;;Sango_R_A__00216_D1_02092024.JPG;;Sango_L_B__00215_D1_02092024.JPG;337;450;360,2572;178,3581354;73,78992831;-90,83738133
103129841;0,4147;-0,5702;0,5599;0,4353;2024-09-02 04:38:31.841;16;-20,37969086;32,23583672;808,3506;2,999;;Sango_R_A__00217_D1_02092024.JPG;;Sango_L_B__00216_D1_02092024.JPG;3;448;360,3506;176,9999915;73,88820032;-91,21192112
103132842;0,4189;-0,5669;0,5617;0,433;2024-09-02 04:38:34.842;16;-20,37969213;32,23693445;805,8238;3,001;;Sango_R_A__00218_D1_02092024.JPG;;Sango_L_B__00217_D1_02092024.JPG;3;448;357,8238;177,5993974;74,08575166;-91,28394162
103135841;0,4168;-0,57;0,5628;0,4297;2024-09-02 04:38:37.841;16;-20,37969078;32,23803321;805,3967;2,999;;Sango_R_A__00219_D1_02092024.JPG;;Sango_L_B__00218_D1_02092024.JPG;3;446;359,3967;178,2776137;73,53645432;-90,55873698
103138843;0,4176;-0,569;0,5594;0,4347;2024-09-02 04:38:40.843;16;-20,37967867;32,23913708;803,708;3,002;;Sango_R_A__00220_D1_02092024.JPG;;Sango_L_B__00219_D1_02092024.JPG;3;445;358,708;177,6716909;74,12440574;-90,7836989
103141843;0,4159;-0,5715;0,5602;0,432;2024-09-02 04:38:43.843;16;-20,37967672;32,24024119;802,1776;3;;Sango_R_A__00221_D1_02092024.JPG;;Sango_L_B__00220_D1_02092024.JPG;3;443;359,1776;178,23804;73,68231053;-90,17597886
103144842;0,418;-0,5699;0,5614;0,4306;2024-09-02 04:38:46.842;16;-20,37968812;32,24133985;799,6117;2,999;;Sango_R_A__00222_D1_02092024.JPG;;Sango_L_B__00221_D1_02092024.JPG;3;444;355,6117;178,5585132;73,74712252;-90,22031886
103147843;0,4164;-0,5697;0,5613;0,4325;2024-09-02 04:38:49.843;16;-20,37969854;32,24243896;796,4994;3,001;;Sango_R_A__00223_D1_02092024.JPG;;Sango_L_B__00222_D1_02092024.JPG;3;443;353,4994;177,727521;73,77719778;-90,85455389
103150842;0,4162;-0,5694;0,5602;0,4343;2024-09-02 04:38:52.842;16;-20,37971514;32,24353841;793,8065;2,999;;Sango_R_A__00224_D1_02092024.JPG;;Sango_L_B__00223_D1_02092024.JPG;3;441;352,8065;177,3836616;73,94720126;-91,03654374
103153842;0,4172;-0,5691;0,5612;0,4325;2024-09-02 04:38:55.842;16;-20,37974229;32,24463098;792,7818;3;;Sango_R_A__00225_D1_02092024.JPG;;Sango_L_B__00224_D1_02092024.JPG;3;442;350,7818;177,8180287;73,86339219;-90,83934381
103156841;0,4171;-0,5712;0,5605;0,4309;2024-09-02 04:38:58.841;16;-20,37978079;32,24571084;791,8504;2,999;;Sango_R_A__00226_D1_02092024.JPG;;Sango_L_B__00225_D1_02092024.JPG;3;441;350,8504;178,6649177;73,68982728;-89,91701394
103159842;0,418;-0,5644;0,5635;0,4349;2024-09-02 04:39:01.842;16;-20,37982017;32,24678134;790,7465;3,001;;Sango_R_A__00227_D1_02092024.JPG;;Sango_L_B__00226_D1_02092024.JPG;3;437;353,7465;176,1553199;74,16621737;-92,81495735
